store_id,store_name,city,state,store_format,opened_date,floor_area_m2
STORE001,RetailHub Columbus Outlet,Columbus,OH,Outlet,2017-02-12,1950
STORE002,RetailHub Virginia Beach High Street,Virginia Beach,VA,High Street,2015-02-23,2350
STORE003,RetailHub Dallas Mall,Dallas,TX,Mall,2015-02-19,2100
STORE004,RetailHub San Francisco High Street,San Francisco,CA,High Street,2021-01-28,1850
STORE005,RetailHub Ann Arbor Mall,Ann Arbor,MI,Mall,2021-10-26,1600
STORE006,RetailHub Jersey City Mall,Jersey City,NJ,Mall,2012-01-23,1600
STORE007,RetailHub Pittsburgh High Street,Pittsburgh,PA,High Street,2022-02-18,3100
STORE008,RetailHub Atlanta High Street,Atlanta,GA,High Street,2016-10-11,500
STORE009,RetailHub Albany High Street,Albany,NY,High Street,2019-10-16,650
STORE010,RetailHub Naperville High Street,Naperville,IL,High Street,2022-07-18,1450
STORE011,RetailHub Orlando Retail Park,Orlando,FL,Retail Park,2014-07-02,2150
STORE012,RetailHub Raleigh High Street,Raleigh,NC,High Street,2021-09-01,1900
STORE013,RetailHub Cincinnati Mall,Cincinnati,OH,Mall,2020-06-22,3050
STORE014,RetailHub Arlington Outlet,Arlington,VA,Outlet,2023-03-23,650
STORE015,RetailHub Dallas High Street,Dallas,TX,High Street,2019-12-15,2500
STORE016,RetailHub Los Angeles Outlet,Los Angeles,CA,Outlet,2021-03-15,2850
STORE017,RetailHub Grand Rapids Mall,Grand Rapids,MI,Mall,2023-12-27,2450
STORE018,RetailHub Jersey City High Street,Jersey City,NJ,High Street,2023-12-17,1850
STORE019,RetailHub Pittsburgh Outlet,Pittsburgh,PA,Outlet,2013-02-10,700
STORE020,RetailHub Atlanta Outlet,Atlanta,GA,Outlet,2020-12-09,1700
STORE021,RetailHub Albany Retail Park,Albany,NY,Retail Park,2016-11-24,2500
STORE022,RetailHub Naperville Outlet,Naperville,IL,Outlet,2024-08-19,1100
STORE023,RetailHub Orlando Mall,Orlando,FL,Mall,2024-04-28,600
STORE024,RetailHub Raleigh High Street,Raleigh,NC,High Street,2022-08-12,2950
STORE025,RetailHub Columbus Outlet,Columbus,OH,Outlet,2017-05-28,1200
STORE026,RetailHub Virginia Beach High Street,Virginia Beach,VA,High Street,2014-03-08,2700
STORE027,RetailHub Dallas Outlet,Dallas,TX,Outlet,2022-06-16,2650
STORE028,RetailHub San Francisco Outlet,San Francisco,CA,Outlet,2018-05-01,2800
STORE029,RetailHub Grand Rapids Retail Park,Grand Rapids,MI,Retail Park,2017-11-11,1700
STORE030,RetailHub Newark Mall,Newark,NJ,Mall,2015-11-10,1000
STORE031,RetailHub Philadelphia Outlet,Philadelphia,PA,Outlet,2020-09-21,2000
STORE032,RetailHub Atlanta High Street,Atlanta,GA,High Street,2024-01-05,1600
STORE033,RetailHub Albany Outlet,Albany,NY,Outlet,2014-10-07,750
STORE034,RetailHub Chicago Retail Park,Chicago,IL,Retail Park,2016-01-12,500
STORE035,RetailHub Tampa Mall,Tampa,FL,Mall,2013-12-28,1650
STORE036,RetailHub Raleigh Outlet,Raleigh,NC,Outlet,2015-05-24,900
STORE037,RetailHub Cleveland Outlet,Cleveland,OH,Outlet,2012-05-08,700
STORE038,RetailHub Virginia Beach High Street,Virginia Beach,VA,High Street,2012-04-03,1150
STORE039,RetailHub Austin Retail Park,Austin,TX,Retail Park,2023-09-27,800
STORE040,RetailHub San Francisco Outlet,San Francisco,CA,Outlet,2023-08-05,2400
STORE041,RetailHub Detroit Outlet,Detroit,MI,Outlet,2022-12-19,2800
STORE042,RetailHub Jersey City Mall,Jersey City,NJ,Mall,2017-02-11,2950
STORE043,RetailHub Philadelphia Outlet,Philadelphia,PA,Outlet,2017-08-07,1800
STORE044,RetailHub Savannah High Street,Savannah,GA,High Street,2022-05-03,1000
STORE045,RetailHub Buffalo Retail Park,Buffalo,NY,Retail Park,2015-09-08,650
STORE046,RetailHub Chicago Mall,Chicago,IL,Mall,2014-03-03,2200
STORE047,RetailHub Miami Mall,Miami,FL,Mall,2016-09-10,1050
STORE048,RetailHub Raleigh Outlet,Raleigh,NC,Outlet,2019-02-27,1900
STORE049,RetailHub Cleveland Retail Park,Cleveland,OH,Retail Park,2022-08-26,750
